GeneID:ENTREZ_ID	XB-GENE-XB_GENE_ID
GeneID:100487899	XB-GENE-29078967
GeneID:100487906	XB-GENE-29078971
GeneID:100487921	XB-GENE-29078975
GeneID:100487926	XB-GENE-29078979
GeneID:100487948	XB-GENE-29078983
GeneID:100487949	XB-GENE-29078987
GeneID:100487954	XB-GENE-29078991
GeneID:100487959	XB-GENE-29078995
GeneID:100487962	XB-GENE-29078999
GeneID:100487968	XB-GENE-29079003
GeneID:100487969	XB-GENE-29079007
GeneID:100487973	XB-GENE-29079011
GeneID:100487990	XB-GENE-29079015
GeneID:100487999	XB-GENE-29079019
GeneID:100488000	XB-GENE-29079023
GeneID:100488006	XB-GENE-29079027
GeneID:100488012	XB-GENE-29079031
GeneID:100488013	XB-GENE-29079035
GeneID:100488020	XB-GENE-29079039
GeneID:100488029	XB-GENE-29079043
GeneID:100488056	XB-GENE-29079047
GeneID:100488070	XB-GENE-29079051
GeneID:100488074	XB-GENE-29079055
GeneID:100488076	XB-GENE-29079059
GeneID:100488087	XB-GENE-29079063
GeneID:100488099	XB-GENE-29079067
GeneID:100488102	XB-GENE-29079071
GeneID:100488106	XB-GENE-29079075
GeneID:100488129	XB-GENE-29079079
GeneID:100488166	XB-GENE-29079083
GeneID:100488176	XB-GENE-29079087
GeneID:100488183	XB-GENE-29079091
GeneID:100488188	XB-GENE-29079095
GeneID:100488194	XB-GENE-29079099
GeneID:100488200	XB-GENE-29079103
GeneID:100488209	XB-GENE-29079107
GeneID:100488210	XB-GENE-29079111
GeneID:100488231	XB-GENE-29079115
GeneID:100488258	XB-GENE-29079119
GeneID:100488259	XB-GENE-29079123
GeneID:100488276	XB-GENE-29079127
GeneID:100488277	XB-GENE-29079131
GeneID:100488279	XB-GENE-29079135
GeneID:100488285	XB-GENE-29079139
GeneID:100488315	XB-GENE-29079143
GeneID:100488322	XB-GENE-29079147
GeneID:100488351	XB-GENE-29079151
GeneID:100488353	XB-GENE-29079155
GeneID:100488359	XB-GENE-29079159
GeneID:100488374	XB-GENE-29079163
GeneID:100488377	XB-GENE-29079167
GeneID:100488380	XB-GENE-29079171
GeneID:100488381	XB-GENE-29079175
GeneID:100488382	XB-GENE-29079179
GeneID:100488384	XB-GENE-29079183
GeneID:100488390	XB-GENE-29079187
GeneID:100488408	XB-GENE-29079191
GeneID:100488427	XB-GENE-29079195
GeneID:100488442	XB-GENE-29079199
GeneID:100488455	XB-GENE-29079203
GeneID:100488459	XB-GENE-29079207
GeneID:100488469	XB-GENE-29079211
GeneID:100488471	XB-GENE-29079215
GeneID:100488472	XB-GENE-29079219
GeneID:100488475	XB-GENE-29079223
GeneID:100488482	XB-GENE-29079227
GeneID:100488486	XB-GENE-29079231
GeneID:100488505	XB-GENE-29079235
GeneID:100488533	XB-GENE-29079239
GeneID:100488536	XB-GENE-29079243
GeneID:100488539	XB-GENE-29079247
GeneID:100488540	XB-GENE-29079251
GeneID:100488554	XB-GENE-29079255
GeneID:100488558	XB-GENE-29079259
GeneID:100488559	XB-GENE-29079263
GeneID:100488563	XB-GENE-29079267
GeneID:100488564	XB-GENE-29079271
GeneID:100488567	XB-GENE-29079275
GeneID:100488577	XB-GENE-29079279
GeneID:100488580	XB-GENE-29079283
GeneID:100488585	XB-GENE-29079287
GeneID:100488592	XB-GENE-29079291
GeneID:100488596	XB-GENE-29079295
GeneID:100488597	XB-GENE-29079299
GeneID:100488610	XB-GENE-29079303
