#NCBI-GeneID,XB-GENE-ID,GENE_SYMBOL
GeneID:100101725,XB-GENE-489298,rab31
GeneID:100101726,XB-GENE-490195,rac3
GeneID:100101727,XB-GENE-490606,tubgcp6
GeneID:100101728,XB-GENE-490983,tubgcp3
GeneID:100101729,XB-GENE-491791,olfm1
GeneID:100101730,XB-GENE-954971,aig1
GeneID:100101731,XB-GENE-492709,poll
GeneID:100101732,XB-GENE-492716,ina
GeneID:100101733,XB-GENE-492836,sh2b3
GeneID:100101735,XB-GENE-919749,cd3e
GeneID:100101736,XB-GENE-921525,ccnb1
GeneID:100101737,XB-GENE-478600,frs3
GeneID:100101738,XB-GENE-489696,csdc2
GeneID:100101739,XB-GENE-921957,lingo1
GeneID:100101740,XB-GENE-920564,sh3bp5l
GeneID:100101741,XB-GENE-481084,arrb2
GeneID:100101742,XB-GENE-482683,foxp2
GeneID:100101743,XB-GENE-492943,unc93b1
GeneID:100101744,XB-GENE-493820,thy1
GeneID:100101745,XB-GENE-494827,fscn2
GeneID:100101746,XB-GENE-853290,egr2
GeneID:100101748,XB-GENE-866790,sipa1l1
GeneID:100101749,XB-GENE-876152,dmrt2
GeneID:100101750,XB-GENE-876850,dlx1
GeneID:100101751,XB-GENE-876869,krt7
GeneID:100101752,XB-GENE-919922,scaf8
GeneID:100101753,XB-GENE-920068,nefh
GeneID:100101754,XB-GENE-921677,mxra8
GeneID:100101755,XB-GENE-921994,sf3b3
GeneID:100101756,XB-GENE-922120,polr2i
